,RunId,iteration,Step,penalty_mul,penalty_max,Dispriviledged_Agents_Proportion,Lifecycle_Diff,Dispriviledged_Agents_Duration
0,0,0,600,1.0,50.0,56.08,-0.11573244128300075,600
1,1,0,600,1.0,100.0,54.72,0.08134071433367751,600
2,2,0,600,1.0,200.0,50.4,-0.11253127153978415,600
3,3,0,600,1.05,50.0,0.0,0.699226235277961,503
4,4,0,600,1.05,100.0,0.0,0.8264432248009213,428
5,5,0,600,1.05,200.0,1.3599999999999999,1.2610861810651186,600
6,6,0,600,1.25,50.0,0.0,9.005119892189327,67
7,7,0,600,1.25,100.0,0.0,5.669318214155972,141
8,8,0,600,1.25,200.0,0.0,5.300332591790758,242
9,9,0,600,1.5,50.0,0.0,15.996143164543508,50
10,10,0,600,1.5,100.0,0.0,10.452556899176013,99
11,11,0,600,1.5,200.0,0.0,8.01897443584183,109
12,12,0,600,2.0,50.0,0.0,28.733405645057143,26
13,13,0,600,2.0,100.0,0.0,18.36168780920565,32
14,14,0,600,2.0,200.0,0.0,12.211963897011236,57
15,15,1,600,1.0,50.0,37.12,-0.06004663507355179,600
16,16,1,600,1.0,100.0,56.52,0.0010051356606810558,600
17,17,1,600,1.0,200.0,48.559999999999995,0.16953742555197993,600
18,18,1,600,1.05,50.0,0.0,0.8598243407102468,347
19,19,1,600,1.05,100.0,4.92,0.7149997286414411,600
20,20,1,600,1.05,200.0,2.44,0.9610325313844204,600
21,21,1,600,1.25,50.0,0.0,8.938539758577857,132
22,22,1,600,1.25,100.0,0.0,6.361936491541553,224
23,23,1,600,1.25,200.0,0.0,5.603177246878399,154
24,24,1,600,1.5,50.0,0.0,17.225168522367472,46
25,25,1,600,1.5,100.0,0.0,10.173370760850709,73
26,26,1,600,1.5,200.0,0.0,7.337058254150442,124
27,27,1,600,2.0,50.0,0.0,28.711048368836266,28
28,28,1,600,2.0,100.0,0.0,18.150750132025962,39
29,29,1,600,2.0,200.0,0.0,12.907027823832317,56
30,30,2,600,1.0,50.0,62.239999999999995,-0.08312408466695231,600
31,31,2,600,1.0,100.0,37.0,0.17000893163935382,600
